Nom	Nature	Classe	Structure	Effort nominal	Tau	Effort transversal en DP	Tau en DP	Caché	Hauteur totale	Element de base	Nom CAPFT	NomGESPOT	Description	Largeurbase	Epaisseurbase	bC3	bC3C	Graphique
9 S 1	BO	S   	S	1	0	0.35	0	0	9	-1	9 S 1		Simple bois	182	182	35	35	RONDBT
9 S 1,4     	BO	S   	S	1.4	0	0.45	0	0	9	-1	9 S 1,4     		Simple bois	196	196	35	40	RONDBT
Simple bois	BO	S   	S	1.9	0	0.65	0	0	9	-1	9 S 1,9     		Simple bois	217	217	40	55	RONDBT
9 S 2,55    	BO	S   	S	2.55	0	0.85	0	0	9	-1	9 S 2,55    		Simple bois	238	238	50	70	RONDBT
9 S 3,25    	BO	S   	S	3.25	0	1.1	0	0	9	-1	9 S 3,25    		Simple bois	258	258	70	90	RONDBT
9 S 4,3     	BO	S   	S	4.3	0	1.5	0	0	9	-1	9 S 4,3     		Simple bois	278	278	75	0	RONDBT
9 S 5,5     	BO	S   	S	5.5	0	2	0	0	9	-1	9 S 5,5     		Simple bois	298	298	80	0	RONDBT
9 JS 1      	BO	JS  	S	2.55	0.85	1	0.66	0	9	-1	9 JS 1      		Jumelé bois	182	364	50	55	RONDD
9 JS 1,4    	BO	JS  	S	3.2	0.85	1.4	0.66	0	9	-1	9 JS 1,4    		Jumelé bois	196	392	75	90	RONDD
9 JS 1,9    	BO	JS  	S	5	0.85	2	0.66	0	9	-1	9 JS 1,9    		Jumelé bois	217	434	95	0	RONDD
9 JS 2,55   	BO	JS  	S	6.5	0.85	2.6	0.66	0	9	-1	9 JS 2,55   		Jumelé bois	238	476	110	0	RONDD
9 JS 3,25   	BO	JS  	S	8	0.85	3.3	0.66	0	9	-1	9 JS 3,25   		Jumelé bois	258	516	130	0	RONDD
9 JS 4,3    	BO	JS  	S	10.1	0.85	4.3	0.66	0	9	-1	9 JS 4,3    		Jumelé bois	278	556	140	0	RONDD
9 JS 5,5    	BO	JS  	S	14	0.85	5.5	0.66	0	9	-1	9 JS 5,5    		Jumelé bois	298	596	150	0	RONDD
9 CFY 1,4   	BO	CFY 	S	6.5	0.5	6.5	0.15	0	9	-1	9 CFY 1,4   		Contrefiché bois    	392	392	0	30	RONDD
9 CFY 2,55  	BO	CFY 	S	10	0.55	10	0.15	0	9	-1	9 CFY 2,55  		Contrefiché bois    	476	476	40	50	RONDD
9 CFZ 1,4   	BO	CFZ 	S	9.3	0.35	9.3	0.1	0	9	-1	9 CFZ 1,4   		Contrefiché bois    	392	392	40	50	RONDD
9 CFZ 2,55  	BO	CFZ 	S	16	0.35	16	0.1	0	9	-1	9 CFZ 2,55  		Contrefiché bois    	476	476	55	70	RONDD
9 HS 1,9    	BO	HS  	S	16	0.1	16	0.04	0	9	-1	9 HS 1,9    		Haubané bois	217	217	40	55	RONDH
9 HS 2,55   	BO	HS  	S	20	0.1	20	0.04	0	9	-1	9 HS 2,55   		Haubané bois	238	238	50	70	RONDH
9 HS 3,25   	BO	HS  	S	25	0.1	25	0.04	0	9	-1	9 HS 3,25   		Haubané bois	258	258	70	90	RONDH
9 D 1,25    	BE	D   	S	1.25	0.5	-1	1000	0	9	-1	9 D 1,25    		Béton simple rectangulaire	228	320	40	55	RECT
9 D 1,6     	BE	D   	S	1.6	0.5	-1	1000	0	9	-1	9 D 1,6     		Béton simple rectangulaire	228	320	40	55	RECT
9 D 2       	BE	D   	S	2	0.5	-1	1000	0	9	-1	9 D 2       		Béton simple rectangulaire	238	340	40	55	RECT
9 D 2,5     	BE	D   	S	2.5	0.5	-1	1000	0	9	-1	9 D 2,5     		Béton simple rectangulaire	238	340	40	55	RECT
9 D 3,2     	BE	D   	S	3.2	0.5	-1	1000	0	9	-1	9 D 3,2     		Béton simple rectangulaire	258	380	40	60	RECT
9 D 4       	BE	D   	S	4	0.5	-1	1000	0	9	-1	9 D 4       		Béton simple rectangulaire	258	380	40	60	RECT
9 D 5       	BE	D   	S	5	0.5	-1	1000	0	9	-1	9 D 5       		Béton simple rectangulaire	278	420	40	65	RECT
9 D 6,5     	BE	D   	S	6.5	0.5	-1	1000	0	9	-1	9 D 6,5     		Béton simple rectangulaire	278	420	55	70	RECT
9 A 1,50    	BE	A   	S	1.5	0.35	-1	1000	0	9	-1	9 A 1,50    		Ancien poteau béton simple rectangulaire	172	340	0	0	RECT
9 A 2       	BE	A   	S	2	0.35	-1	1000	0	9	-1	9 A 2       		Ancien poteau béton simple rectangulaire	172	340	0	0	RECT
9 A 2,5     	BE	A   	S	2.5	0.35	-1	1000	0	9	-1	9 A 2,5     		Ancien poteau béton simple rectangulaire	172	340	0	0	RECT
9 A 3       	BE	A   	S	3	0.35	-1	1000	0	9	-1	9 A 3       		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
9 A 4       	BE	A   	S	4	0.35	-1	1000	0	9	-1	9 A 4       		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
9 A 5       	BE	A   	S	5	0.35	-1	1000	0	9	-1	9 A 5       		Ancien poteau béton simple rectangulaire	188	380	0	0	RECT
9 A 6,5     	BE	A   	S	6.5	0.35	-1	1000	0	9	-1	9 A 6,5     		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
9 A 8       	BE	A   	S	8	0.35	-1	1000	0	9	-1	9 A 8       		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
9 A 10      	BE	A   	S	10	0.35	-1	1000	0	9	-1	9 A 10      		Ancien poteau béton simple rectangulaire	204	420	0	0	RECT
9 A 12,5    	BE	A   	S	12.5	0.35	-1	1000	0	9	-1	9 A 12,5    		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
9 A 16      	BE	A   	S	16	0.35	-1	1000	0	9	-1	9 A 16      		Ancien poteau béton simple rectangulaire	220	460	0	0	RECT
9 A 20      	BE	A   	S	20	0.35	-1	1000	0	9	-1	9 A 20      		Ancien poteau béton simple rectangulaire	236	500	0	0	RECT
9 A 25      	BE	A   	S	25	0.35	-1	1000	0	9	-1	9 A 25      		Ancien poteau béton simple rectangulaire	236	500	0	0	RECT
